t,I,V
13.86846712,3.11975563818123e-05,0.379998564720154
13.95122566,2.56708699453156e-05,0.369976729154587
14.03396262,2.10915477509843e-05,0.359990656375885
14.11671256,1.72933850990376e-05,0.350007176399231
14.19945936,1.41438913487946e-05,0.339989811182022
14.28220164,1.15522625492304e-05,0.330002307891846
14.36495606,9.41690450417809e-06,0.319977104663849
14.4477062,7.66610264690826e-06,0.309992730617523
14.53044782,6.22616835244116e-06,0.299972712993622
14.6131957,5.05150046592462e-06,0.289991348981857
14.6959273,4.0927870941232e-06,0.280004292726517
14.77866,3.30831903738726e-06,0.269985109567642
14.86142632,2.67256905317481e-06,0.259997367858887
14.94418108,2.15476734410913e-06,0.24997690320015
15.02691428,1.73607077158522e-06,0.239995956420898
15.10968798,1.39693759138027e-06,0.230008393526077
15.1924247,1.12207192159985e-06,0.219990357756615
15.27733468,8.98444966423995e-07,0.209998294711113
15.3600853,7.20240848295362e-07,0.199996069073677
15.44284844,5.76643572003377e-07,0.189996421337128
15.52559208,4.6072980808276e-07,0.179997906088829
15.60835258,3.68080122825631e-07,0.169998079538345
15.69110534,2.93286035457641e-07,0.159993380308151
15.77385722,2.33496976420611e-07,0.149992942810059
15.8566158,1.85572872624107e-07,0.139993444085121
15.9393673,1.47419726204134e-07,0.129994556307793
16.02210228,1.16710978659285e-07,0.119996465742588
16.1048549,9.20510245805417e-08,0.109997346997261
16.18758842,7.26836191233815e-08,0.0999965742230415
16.27033872,5.71547928984728e-08,0.0899975001811981
16.35309524,4.43594849741658e-08,0.0799988582730293
16.4358294,3.42977273248835e-08,0.0700000077486038
16.51856766,2.60389398931693e-08,0.0599972605705261
16.60133816,1.92923614861229e-08,0.049999613314867
16.684083,1.3883439287099e-08,0.0399997383356094
16.76682998,9.521408550483562e-09,0.0299996398389339
16.8517577,5.56649926153341e-09,0.0199998747557402
16.93451758,2.36767760952716e-09,0.0099995406344533
17.01727514,-4.82180961824952e-10,3.30768671119586e-07
17.10034544,-3.5646809948275404e-09,-0.0099995452910661
17.18309148,-5.891111598543831e-09,-0.0199989769607782
17.26723144,-8.159461550860671e-09,-0.0299962218850851
17.34996114,-1.0776790126954e-08,-0.0399947986006737
17.43272402,-1.33941142621552e-08,-0.0499956272542477
17.51546604,-1.5953279586256e-08,-0.059997171163559
17.59821612,-1.9501209536088e-08,-0.0699945762753487
17.68097212,-2.28746515062994e-08,-0.0799982771277428
17.7637279,-2.67715662971568e-08,-0.0899958461523056
17.84647858,-3.09592884661924e-08,-0.0999978259205818
17.92922512,-3.60776155616804e-08,-0.109995238482952
18.01196214,-4.18939087865056e-08,-0.119995549321175
18.09469868,-4.85244662229434e-08,-0.129991352558136
18.17746152,-5.60856321385472e-08,-0.139994725584984
18.26019878,-6.45192343995404e-08,-0.1499924659729
18.34295174,-7.42905896800039e-08,-0.159993648529053
18.42571202,-8.56323083553434e-08,-0.169993743300438
18.50844174,-9.86026620353186e-08,-0.179991379380226
18.5911782,-1.13143336477606e-07,-0.189990118145943
18.67392652,-1.29777930624186e-07,-0.199989050626755
18.75667756,-1.49029844465076e-07,-0.209989950060844
18.84078902,-1.70491929907257e-07,-0.219996690750122
18.92354524,-1.95501883126781e-07,-0.22998483479023
19.00629776,-2.23652762088022e-07,-0.240005359053612
19.08903008,-2.55584211572568e-07,-0.249985724687576
19.1717932,-2.92168522264546e-07,-0.259976416826248
19.25451658,-3.34278468017146e-07,-0.269996494054794
19.33725954,-3.81448558073316e-07,-0.279985159635544
19.4200065,-4.35016573874236e-07,-0.290006458759308
19.50275414,-4.95622259677475e-07,-0.299989581108093
19.58548762,-5.64836000194191e-07,-0.309976577758789
19.66824642,-6.43006728751061e-07,-0.319996505975723
19.75097306,-7.31123577679682e-07,-0.329989582300186
19.8336988,-8.30989165478968e-07,-0.340012222528458
19.91643802,-9.43243719575548e-07,-0.349997192621231
19.99916514,-1.06998004412162e-06,-0.3599813580513
20.08186864,-1.21277037123946e-06,-0.370000332593918
20.16462052,-1.37393988097756e-06,-0.379988819360733
20.24733822,-1.55558223013941e-06,-0.390009075403214
20.33007284,-1.75915226918733e-06,-0.399997889995575
20.41278158,-1.98749967239564e-06,-0.40998250246048
20.49551068,-2.24423024519638e-06,-0.420002520084381
20.5782354,-2.53184452958521e-06,-0.429991215467453
20.66094942,-2.8540096081997e-06,-0.440011411905289
20.7436996,-3.21200195685378e-06,-0.44999685883522
20.82643406,-3.61466413778544e-06,-0.459987938404083
20.90914894,-4.06437811761862e-06,-0.470005005598068
20.99187402,-4.56446468888316e-06,-0.47999307513237
21.07458438,-5.12718997924821e-06,-0.490013241767883
21.15731064,-5.74621662963182e-06,-0.500000178813934
21.24006048,-6.43486237095203e-06,-0.509987771511078
21.32278104,-7.20209209248424e-06,-0.520002603530884
21.40549748,-8.05429499450838e-06,-0.529990673065186
21.48822014,-8.99921269592596e-06,-0.540011167526245
21.57093754,-1.00471324913087e-05,-0.549999296665192
21.65366984,-1.11991048470372e-05,-0.559987306594849
21.73643286,-1.2481888916227e-05,-0.570005893707275
21.81915306,-1.38846035042661e-05,-0.579990565776825
21.90185692,-1.54484314407455e-05,-0.590008914470673
21.98460528,-1.71553401742131e-05,-0.600001394748688
22.06735074,-1.90336522791767e-05,-0.609989285469055
22.15006708,-2.11069273063913e-05,-0.620007932186127
22.2327902,-2.33707360166591e-05,-0.629997253417969
22.31550324,-2.58572054008255e-05,-0.64001202583313
22.3982239,-2.85741680272622e-05,-0.650000810623169
22.48095568,-3.1531340937363e-05,-0.659984946250916
22.56367906,-3.47930799762253e-05,-0.670005023479462
22.64641282,-3.83278566005174e-05,-0.679991662502289
22.72916316,-4.2209263483528e-05,-0.690007746219635
22.8118768,-4.64105869468767e-05,-0.699996709823608
22.89459398,-5.09454293933231e-05,-0.709983229637146
22.97732092,-5.5888136557769e-05,-0.720002293586731
23.0600406,-6.12374278716743e-05,-0.729994416236877
23.14277344,-6.70297522447072e-05,-0.739981651306152
23.22553196,-7.33441193006001e-05,-0.749998331069946
23.30823362,-8.00517518655397e-05,-0.759984493255615
23.3909417,-8.7294916738756e-05,-0.770003974437714
23.47368658,-9.51345064095221e-05,-0.77999210357666
23.55640754,-0.0001035021414281,-0.789976954460144
23.63912252,-0.0001125602793763,-0.799996554851532
23.7218505,-0.000122179830214,-0.809981942176819
23.8045865,-0.0001325184275629,-0.820003151893616
23.88731506,-0.0001435078593203,-0.829991936683655
23.97003232,-0.0001551776949781,-0.839976072311401
24.052782,-0.0001678279077168,-0.849999487400055
24.1355248,-0.0001811718539102,-0.859979033470154
24.218229,-0.0001953425526153,-0.870004653930664
24.30095874,-0.0002102333673974,-0.879994332790375
24.38367008,-0.0002261088084196,-0.889978051185608
24.4664025,-0.0002429235755698,-0.899999439716339
24.54915434,-0.000260599394096,-0.909982085227966
24.631876,-0.000279426574707,-0.920003116130829
24.71459136,-0.0002989438362419,-0.929989755153656
24.79732746,-0.0003195736499037,-0.939976632595062
24.8800517,-0.0003412672376725,-0.949998378753662
24.96277932,-0.0003635706088971,-0.9599848985672
25.04553242,-0.0003871905501,-0.970000326633453
25.12825664,-0.0004114096809644,-0.979986488819122
25.2109897,-0.0004371746908873,-0.989974319934845
25.29372544,-0.0004638195387087,-0.999999344348907
25.37645316,-0.000491174054332,-1.00998377799988
25.45917898,-0.0005199188017286,-1.02000069618225
25.54193852,-0.0005497299134731,-1.02998995780945
25.62468376,-0.0005801086081191,-1.03997564315796
25.7074046,-0.0006114845746196,-1.04999816417694
25.79012662,-0.0006444238242693,-1.05998158454895
25.87288588,-0.0006784066790714,-1.07000339031219
25.95562402,-0.0007136166095733,-1.07998359203339
26.03834112,-0.0007494351593777,-1.08997106552124
26.12106702,-0.000786512158811,-1.09999632835388
26.20378244,-0.0008239872404374,-1.10997843742371
26.28651162,-0.0008626373019069,-1.11999988555908
26.36926206,-0.0009022894664667,-1.12998306751251
26.45199136,-0.0009426692267879,-1.13997507095337
26.53475008,-0.0009846164612099,-1.14999413490295
26.61751064,-0.0010273219086229,-1.15998113155365
27.08927842,-0.0009842130821198,-1.17000222206116
27.17202672,-0.0010332755045965,-1.17999029159546
27.25474228,-0.0010814410634338,-1.18997228145599
27.33749266,-0.0011313074501231,-1.19999563694
27.42022548,-0.0011804616078734,-1.20998203754425
27.50293852,-0.0012307496508583,-1.22000122070313
27.5856808,-0.0012819373514503,-1.22998690605164
27.66838238,-0.0013331205118447,-1.23997020721436
27.75111478,-0.0013865712098777,-1.24999189376831
27.83388032,-0.0014394741738215,-1.25997817516327
27.91660458,-0.0014931333716958,-1.27000331878662
27.99931742,-0.0015471774386242,-1.27998769283295
28.08202908,-0.0016021014889702,-1.28997528553009
28.16475354,-0.0016582962125539,-1.29999351501465
28.24747618,-0.0017141066491603,-1.30997955799103
28.33020418,-0.0017709670355543,-1.32000386714935
28.41296476,-0.0018274418544024,-1.32998657226563
28.49567296,-0.0018850433407351,-1.3399738073349
28.5783797,-0.001942571834661,-1.34998965263367
28.66111132,-0.0020016287453472,-1.35997772216797
28.74384,-0.0020598261617124,-1.36999654769897
28.82656808,-0.0021191167179495,-1.37998330593109
28.90930966,-0.0021786880679428,-1.38997054100037
28.99201378,-0.0022391793318092,-1.39999341964722
29.07473542,-0.0022990410216152,-1.40997898578644
29.15747346,-0.0023596500977873,-1.41996788978577
29.24019852,-0.0024211981799453,-1.42999124526978
29.32292818,-0.0024812484625726,-1.43997299671173
29.40568304,-0.0025426393840462,-1.44999468326569
29.4884112,-0.0026041155215352,-1.45997798442841
29.57113634,-0.0026649252977222,-1.46996772289276
29.65387408,-0.0027264228556305,-1.47998237609863
29.7365998,-0.0027881632559001,-1.4899708032608
29.8193319,-0.0028488240204751,-1.49999070167542
29.90207916,-0.0029100603424012,-1.50997817516327
29.9848195,-0.0029722689650952,-1.51996421813965
30.06753206,-0.0030342331156134,-1.52998101711273
30.1502749,-0.0030965490732342,-1.53997230529785
30.23300094,-0.0031575851608067,-1.54999172687531
30.31573776,-0.0032191760838031,-1.55997884273529
30.3984874,-0.0032811732962727,-1.56996548175812
30.48121224,-0.0033434263896197,-1.57998168468475
30.5639231,-0.0034045411739498,-1.58996868133545
30.64664696,-0.0034666326828301,-1.59999215602875
30.7293987,-0.0035274396650493,-1.60997915267944
30.81212444,-0.0035884741228073,-1.61996698379517
30.8948626,-0.0036485514137893,-1.62998199462891
30.97762092,-0.0037101916968822,-1.63996636867523
31.06034184,-0.003771825460717,-1.64999210834503
31.14307654,-0.0038328755181282,-1.65997433662415
31.22581654,-0.003892412642017,-1.66996335983276
31.30855674,-0.0039525520987808,-1.67998313903809
31.39128762,-0.0040127066895365,-1.68996667861938
31.474034,-0.0040728165768086,-1.69999122619629
31.55675784,-0.0041312216781079,-1.70998024940491
31.63949852,-0.0041895555332303,-1.71996939182281
31.72224954,-0.0042476179078221,-1.729984998703
31.80497776,-0.0043053203262388,-1.73996806144714
31.88770318,-0.0043623773381114,-1.74999058246613
31.97044872,-0.004419092554599,-1.75997924804688
32.0531568,-0.0044753602705895,-1.76996469497681
32.13589744,-0.0045315027236938,-1.77998304367065
32.21863656,-0.0045869168825447,-1.78996670246124
32.30136808,-0.0046429587528109,-1.79998886585236
32.38408288,-0.0046964245848357,-1.80997753143311
32.46683192,-0.0047504492104053,-1.81997108459473
32.54956538,-0.0048053413629531,-1.82998979091644
32.6322946,-0.0048587364144623,-1.83997118473053
32.71505406,-0.0049117906019091,-1.84999144077301
32.79779236,-0.0049630035646259,-1.85997557640076
32.8805315,-0.0050135538913309,-1.86997056007385
32.9632703,-0.0050645810551941,-1.87998795509338
33.0459796,-0.0051143816672265,-1.88997066020966
33.128731,-0.0051640169695019,-1.89999294281006
33.21147892,-0.0052128573879599,-1.90997743606567
33.29419024,-0.0052617681212723,-1.91997027397156
33.37690566,-0.0053093172609806,-1.92998790740967
33.45967206,-0.0053555890917778,-1.93997275829315
