,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gain,param_probability,param_voltages,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
21,65.25753660202027,7.877083582762746,1.6770977973937988,0.23216733029118763,9322.227136259227,0.15358929569156188,"[-1.6300607380628072, 0.006566045887405729]","{'gain': 9322.227136259227, 'probability': 0.15358929569156188, 'voltages': [-1.6300607380628072, 0.006566045887405729]}",203.4789273138257,171.33129668761353,223.0965973600881,190.33900289376584,151.95881804106932,188.0409284592725,24.712925213333648,44
22,66.31139163970947,6.974727377669263,1.673924160003662,0.4701730531476311,9322.227136259227,0.11818621084763224,"[-1.6300607380628072, 0.006566045887405729]","{'gain': 9322.227136259227, 'probability': 0.11818621084763224, 'voltages': [-1.6300607380628072, 0.006566045887405729]}",215.87441600694254,176.4360150417972,161.875785232369,231.68289036588604,214.29845842991008,200.03351301538095,26.339931898613393,19
23,64.7372814655304,8.347074222569749,1.6622420787811278,0.26806105412372194,9322.227136259227,0.11808279787148424,"[-1.6300607380628072, 0.006566045887405729]","{'gain': 9322.227136259227, 'probability': 0.11808279787148424, 'voltages': [-1.6300607380628072, 0.006566045887405729]}",208.33745527959692,135.2910277939159,164.10762651848816,275.949049107445,246.83669777174148,206.1043712942375,51.615199878796105,14
24,62.05683498382568,4.708095263006257,1.5012160301208497,0.24429481931380265,9322.227136259227,0.14917359143315315,"[-1.6300607380628072, 0.006566045887405729]","{'gain': 9322.227136259227, 'probability': 0.14917359143315315, 'voltages': [-1.6300607380628072, 0.006566045887405729]}",151.5669603936087,160.68973407646521,237.22837222156804,155.9916251062273,140.14915161047756,169.12516868166935,34.72633899454562,76
25,66.862517786026,8.80650992081713,1.7195218086242676,0.3251204659183588,9322.227136259227,0.11477325699671968,"[-1.6300607380628072, 0.006566045887405729]","{'gain': 9322.227136259227, 'probability': 0.11477325699671968, 'voltages': [-1.6300607380628072, 0.006566045887405729]}",173.3315567124765,188.43368839141672,139.18973043385074,224.99778004539203,172.0929633079402,179.60914377821524,27.81233874796122,66
26,63.98013257980347,8.173107966451829,1.7614071369171143,0.18965664050429276,9322.227136259227,0.14919969781382952,"[-1.6300607380628072, 0.006566045887405729]","{'gain': 9322.227136259227, 'probability': 0.14919969781382952, 'voltages': [-1.6300607380628072, 0.006566045887405729]}",182.973899626261,149.96021867442727,163.19052734151305,199.48003040269168,170.63306827196212,173.24754886337104,16.929405924936816,72
27,67.90970697402955,7.731683405181168,1.947636651992798,0.49677211162837936,9322.227136259227,0.12355436744052561,"[-1.6300607380628072, 0.006566045887405729]","{'gain': 9322.227136259227, 'probability': 0.12355436744052561, 'voltages': [-1.6300607380628072, 0.006566045887405729]}",206.38616364163326,212.3967260250206,124.09171206432792,186.5844562255078,172.15326611261744,180.3224648138214,31.54653872444828,65
28,63.729698705673215,8.385032998337142,1.7071520328521728,0.15747278445769064,9322.227136259227,0.13453462016786175,"[-1.6300607380628072, 0.006566045887405729]","{'gain': 9322.227136259227, 'probability': 0.13453462016786175, 'voltages': [-1.6300607380628072, 0.006566045887405729]}",226.30667297405088,209.87256590537302,223.31388164881548,100.5089669194984,162.61608066458703,184.52363362246496,47.815225995697666,53
29,64.69523444175721,7.397791810301955,1.669874668121338,0.34344017242685076,9322.227136259227,0.11951686621289385,"[-1.6300607380628072, 0.006566045887405729]","{'gain': 9322.227136259227, 'probability': 0.11951686621289385, 'voltages': [-1.6300607380628072, 0.006566045887405729]}",141.92713243629092,202.00776107517018,123.8805508807854,121.38030807168657,238.75512623257487,165.5901757393016,46.762154197095626,79
30,65.74384846687317,8.157824796557774,1.8747997760772706,0.39530140760775934,11921.012716760313,0.166347378170539,"[-1.6300607380628072, 0.006566045887405729]","{'gain': 11921.012716760313, 'probability': 0.166347378170539, 'voltages': [-1.6300607380628072, 0.006566045887405729]}",137.99904500946465,105.12840334349612,190.94994561141036,192.78307298152973,100.1079154856581,145.3936764863118,40.11957502798763,98
31,69.26802997589111,8.262397251078548,1.9273285865783691,0.6279044115494959,11921.012716760313,0.15358929569156188,"[-1.6300607380628072, 0.006566045887405729]","{'gain': 11921.012716760313, 'probability': 0.15358929569156188, 'voltages': [-1.6300607380628072, 0.006566045887405729]}",161.3503784377682,104.16993996902833,162.4244724746787,140.8265958526852,134.51656494857647,140.65759033654737,21.312334562125415,99
32,61.158914470672606,6.761545071830681,1.5520288467407226,0.321791717985141,11921.012716760313,0.11818621084763224,"[-1.6300607380628072, 0.006566045887405729]","{'gain': 11921.012716760313, 'probability': 0.11818621084763224, 'voltages': [-1.6300607380628072, 0.006566045887405729]}",118.4436565301484,257.5794825207499,110.16520977623257,199.19635207957495,125.84072417130845,162.24508501560285,57.28909061260917,88
33,65.93698902130127,8.621204190007056,1.7716917991638184,0.3818360499567675,11921.012716760313,0.11808279787148424,"[-1.6300607380628072, 0.006566045887405729]","{'gain': 11921.012716760313, 'probability': 0.11808279787148424, 'voltages': [-1.6300607380628072, 0.006566045887405729]}",208.91135257819397,188.76267354126102,126.72355865721046,180.53517734293905,217.28979359708936,184.44451114333876,31.758704893079827,54
34,67.29720845222474,9.462793848322017,1.8528489589691162,0.38373552543402695,11921.012716760313,0.14917359143315315,"[-1.6300607380628072, 0.006566045887405729]","{'gain': 11921.012716760313, 'probability': 0.14917359143315315, 'voltages': [-1.6300607380628072, 0.006566045887405729]}",202.83342873525513,149.4617580445206,189.84423947934195,139.14993440771798,191.43435184268643,174.5447425019044,25.304275644916064,70
35,61.279237031936646,8.890813472989969,1.731654453277588,0.27333459902909885,11921.012716760313,0.11477325699671968,"[-1.6300607380628072, 0.006566045887405729]","{'gain': 11921.012716760313, 'probability': 0.11477325699671968, 'voltages': [-1.6300607380628072, 0.006566045887405729]}",196.60491927634698,208.24891117466743,171.48526294770204,298.16483616174935,132.46656307619662,201.39409852733246,54.91820089138798,18
36,66.93038716316224,10.274514613252487,1.881387758255005,0.4737843769366502,11921.012716760313,0.14919969781382952,"[-1.6300607380628072, 0.006566045887405729]","{'gain': 11921.012716760313, 'probability': 0.14919969781382952, 'voltages': [-1.6300607380628072, 0.006566045887405729]}",110.82593343957126,216.01046786713997,110.0271098111103,133.4737255631259,157.56908949689435,145.58126523556834,39.30039207681151,97
37,64.04098100662232,11.15105514129063,1.5925539493560792,0.25040851915941753,11921.012716760313,0.12355436744052561,"[-1.6300607380628072, 0.006566045887405729]","{'gain': 11921.012716760313, 'probability': 0.12355436744052561, 'voltages': [-1.6300607380628072, 0.006566045887405729]}",237.29710612495697,197.35865404958088,183.85657832855347,210.9804232228944,235.91351118785965,213.08125458276908,21.040032175291664,10
38,66.09386940002442,6.943980492583646,1.3105329513549804,0.05324195165471575,11921.012716760313,0.13453462016786175,"[-1.6300607380628072, 0.006566045887405729]","{'gain': 11921.012716760313, 'probability': 0.13453462016786175, 'voltages': [-1.6300607380628072, 0.006566045887405729]}",126.05019481674621,271.5468335778543,228.80185125080342,199.4561010761191,156.31372593160617,196.43374133062585,51.501970992701935,26
