,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gain,param_probability,param_voltages,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
19,138.9703838030497,1.1876072817699765,0.2855852444966634,0.014467598436548946,53521.465369595746,0.8634833547946665,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 53521.465369595746, 'probability': 0.8634833547946665, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",176.64325252441935,153.091754777697,118.19961259704742,149.31153996638793,24.008780060702875,41
20,138.9834507306417,1.5245771477533068,0.28086066246032715,0.005170946334896239,59601.02606968199,0.9456354632652709,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 59601.02606968199, 'probability': 0.9456354632652709, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",119.62385727750132,151.3151292007733,173.9824063062812,148.30713092818527,22.293481907416886,43
21,165.75239769617716,19.65493865435453,0.31392407417297363,0.02959855077995835,59601.02606968199,1.0488341321501657,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 59601.02606968199, 'probability': 1.0488341321501657, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",106.03867937981154,75.83645167938091,201.79647346595152,127.89053484171465,53.69425458069212,74
22,163.66275040308633,20.79317195610345,0.2900172869364421,0.02919003582821813,59601.02606968199,0.8651417182840926,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 59601.02606968199, 'probability': 0.8651417182840926, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",230.4258053746279,189.0797456826377,132.30000914239767,183.93518673322112,40.224518531531736,4
23,134.91270168622336,0.8600971866689822,0.27910542488098145,0.015545540070357085,59601.02606968199,0.8227744011042795,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 59601.02606968199, 'probability': 0.8227744011042795, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",132.89278894233684,124.47496796022627,128.93632891653095,128.76802860636468,3.4386209704392434,71
24,136.18565265337625,1.2445220250521285,0.26060835520426434,0.017624967262893615,59601.02606968199,1.0110698135906322,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 59601.02606968199, 'probability': 1.0110698135906322, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",84.67009356517609,89.23070156414126,108.78931938773991,94.23003817235242,10.461972040414038,99
25,155.71167302131653,14.053773633209415,0.2891322771708171,0.010336572640499945,59601.02606968199,0.8603247153784425,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 59601.02606968199, 'probability': 0.8603247153784425, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",126.10046461559828,163.12107357908707,157.46294547950595,148.8948278913971,16.282728093691418,42
26,162.59162465731302,1.7803986649832497,0.3196594715118408,0.013266258104777951,59601.02606968199,0.9157009564113837,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 59601.02606968199, 'probability': 0.9157009564113837, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",158.2658051794222,182.40273251814259,168.85415983635215,169.84089917797232,9.878530802870529,13
27,135.12534928321838,1.448096008307929,0.2767057418823242,0.015089546750703866,59601.02606968199,0.9815830969555722,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 59601.02606968199, 'probability': 0.9815830969555722, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",101.00048982772334,141.94947354444108,131.22096746207606,124.7236436114135,17.337170660621936,80
28,154.39057262738547,0.2592666542667825,0.3022909959157308,0.019532778870442597,59601.02606968199,0.8277752989207464,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 59601.02606968199, 'probability': 0.8277752989207464, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",78.70170595391409,194.57908903802036,105.80426641896247,126.36168713696564,49.489713662119854,77
29,155.47452211380005,0.915737607705523,0.3116203149159749,0.012600661967406826,59601.02606968199,0.8634833547946665,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 59601.02606968199, 'probability': 0.8634833547946665, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",63.782795439602346,197.35291792983716,118.71510676215553,126.616940043865,54.815287602535555,75
30,134.52687271436056,0.8480443088160913,0.26033441225687665,0.008264062859049024,39243.48933771554,0.9456354632652709,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 39243.48933771554, 'probability': 0.9456354632652709, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",116.41887173965925,118.42374998494954,177.55290857144644,137.46517676535174,28.3581212966426,56
31,154.92617185910544,2.031592475222306,0.27776670455932617,0.0016250191061523821,39243.48933771554,1.0488341321501657,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 39243.48933771554, 'probability': 1.0488341321501657, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",149.45032268758064,144.87465687907516,162.61205124195132,152.31234360286905,7.518739366219532,37
