time	V(pre)	V(pre)/Ix(U1:TE)	Ix(U1:TE)
9.000000999999998e+000	-4.000000e+000	5.250102e+002	-7.618899e-003
9.000001099999992e+000	-3.610000e+000	9.104284e+002	-3.965166e-003
9.000001299999980e+000	-2.830000e+000	2.598638e+003	-1.089032e-003
9.000001699999984e+000	-1.270000e+000	1.609496e+004	-7.890671e-005
9.000001999999995e+000	-1.000000e-001	8.597016e+005	-1.163195e-007
9.090865760002600e+000	-1.000000e-001	8.597016e+005	-1.163194e-007
9.193265760006000e+000	-1.000000e-001	8.597016e+005	-1.163194e-007
9.295665760009399e+000	-1.000000e-001	8.597016e+005	-1.163194e-007
9.398065760012798e+000	-1.000000e-001	8.597016e+005	-1.163194e-007
9.400000000000006e+000	-1.000000e-001	8.597016e+005	-1.163195e-007
9.400000100000000e+000	-4.900000e-001	3.480442e+005	-1.407867e-006
9.400000299999988e+000	-1.270000e+000	2.039874e+004	-6.225875e-005
9.400000699999993e+000	-2.830000e+000	1.201634e+003	-2.355127e-003
9.400001000000003e+000	-4.000000e+000	5.250102e+002	-7.618899e-003
9.498664760002868e+000	-4.000000e+000	5.299406e+002	-7.548016e-003
9.601064760006267e+000	-4.000000e+000	5.341847e+002	-7.488047e-003
9.703464760009666e+000	-4.000000e+000	5.376810e+002	-7.439356e-003
9.805864760013066e+000	-4.000000e+000	5.405536e+002	-7.399821e-003
9.908264760016465e+000	-4.000000e+000	5.429088e+002	-7.367720e-003
1.001066476001986e+001	-4.000000e+000	5.448362e+002	-7.341656e-003
1.011306476002326e+001	-4.000000e+000	5.464112e+002	-7.320494e-003
1.021546476002666e+001	-4.000000e+000	5.476968e+002	-7.303311e-003
1.031786476003006e+001	-4.000000e+000	5.487451e+002	-7.289359e-003
1.040000100000000e+001	-4.000000e+000	5.494438e+002	-7.280089e-003
1.040000110000000e+001	-3.610000e+000	9.492816e+002	-3.802876e-003
1.040000129999999e+001	-2.830000e+000	2.687273e+003	-1.053112e-003
1.040000169999999e+001	-1.270000e+000	1.644579e+004	-7.722340e-005
1.040000200000000e+001	-1.000000e-001	8.637432e+005	-1.157752e-007
1.041856576000021e+001	-1.000000e-001	8.637432e+005	-1.157752e-007
1.052096576000361e+001	-1.000000e-001	8.637432e+005	-1.157752e-007
1.062336576000701e+001	-1.000000e-001	8.637432e+005	-1.157752e-007
1.072576576001040e+001	-1.000000e-001	8.637432e+005	-1.157752e-007
1.080000000000001e+001	-1.000000e-001	8.637432e+005	-1.157752e-007
1.080000010000001e+001	-4.900000e-001	3.506501e+005	-1.397405e-006
1.080000029999999e+001	-1.270000e+000	2.083922e+004	-6.094278e-005
1.080000070000000e+001	-2.830000e+000	1.255298e+003	-2.254445e-003
1.080000100000001e+001	-4.000000e+000	5.494438e+002	-7.280089e-003
1.082636476000047e+001	-4.000000e+000	5.496448e+002	-7.277427e-003
1.092876476000387e+001	-4.000000e+000	5.503318e+002	-7.268343e-003
1.103116476000727e+001	-4.000000e+000	5.508908e+002	-7.260967e-003
1.113356476001067e+001	-4.000000e+000	5.513456e+002	-7.254978e-003
1.123596476001407e+001	-4.000000e+000	5.517154e+002	-7.250115e-003
1.133836476001747e+001	-4.000000e+000	5.520161e+002	-7.246166e-003
1.144076476002087e+001	-4.000000e+000	5.522604e+002	-7.242960e-003
1.154316476002427e+001	-4.000000e+000	5.524589e+002	-7.240357e-003
1.164556476002767e+001	-4.000000e+000	5.526202e+002	-7.238244e-003
1.174796476003107e+001	-4.000000e+000	5.527513e+002	-7.236527e-003
1.180000100000001e+001	-4.000000e+000	5.528082e+002	-7.235783e-003
1.180000110000000e+001	-3.610000e+000	9.546090e+002	-3.781653e-003
1.180000129999999e+001	-2.830000e+000	2.699313e+003	-1.048415e-003
1.180000170000000e+001	-1.270000e+000	1.649281e+004	-7.700327e-005
1.180000200000001e+001	-1.000000e-001	8.642745e+005	-1.157040e-007
1.184866576000121e+001	-1.000000e-001	8.642745e+005	-1.157040e-007
1.195106576000461e+001	-1.000000e-001	8.642745e+005	-1.157040e-007
1.205346576000801e+001	-1.000000e-001	8.642745e+005	-1.157040e-007
1.215586576001141e+001	-1.000000e-001	8.642745e+005	-1.157040e-007
1.220000000000002e+001	-1.000001e-001	8.642745e+005	-1.157041e-007
1.220000010000001e+001	-4.900000e-001	3.509937e+005	-1.396037e-006
1.220000030000000e+001	-1.270000e+000	2.089823e+004	-6.077069e-005
1.220000069999998e+001	-2.830000e+000	1.262672e+003	-2.241278e-003
1.220000099999999e+001	-4.000000e+000	5.528082e+002	-7.235782e-003
1.225646475999679e+001	-4.000000e+000	5.528634e+002	-7.235060e-003
1.235886476000019e+001	-4.000000e+000	5.529488e+002	-7.233942e-003
1.246126476000359e+001	-4.000000e+000	5.530182e+002	-7.233035e-003
1.256366476000699e+001	-4.000000e+000	5.530745e+002	-7.232299e-003
1.266606476001039e+001	-4.000000e+000	5.531203e+002	-7.231700e-003
1.276846476001379e+001	-4.000000e+000	5.531574e+002	-7.231215e-003
1.287086476001718e+001	-4.000000e+000	5.531876e+002	-7.230820e-003
1.297326476002058e+001	-4.000000e+000	5.532121e+002	-7.230500e-003
1.307566476002398e+001	-4.000000e+000	5.532320e+002	-7.230240e-003
1.317806476002738e+001	-4.000000e+000	5.532481e+002	-7.230029e-003
1.320000099999999e+001	-4.000000e+000	5.532512e+002	-7.229989e-003
1.320000109999998e+001	-3.610000e+000	9.553101e+002	-3.778878e-003
1.320000129999997e+001	-2.830000e+000	2.700895e+003	-1.047801e-003
1.320000169999997e+001	-1.270000e+000	1.649897e+004	-7.697451e-005
1.320000199999998e+001	-1.000001e-001	8.643441e+005	-1.156947e-007
1.327876576000219e+001	-1.000000e-001	8.643441e+005	-1.156947e-007
1.338116576000559e+001	-1.000000e-001	8.643441e+005	-1.156947e-007
1.348356576000899e+001	-1.000000e-001	8.643441e+005	-1.156947e-007
1.358596576001239e+001	-1.000000e-001	8.643441e+005	-1.156947e-007
1.359999999999999e+001	-1.000000e-001	8.643441e+005	-1.156947e-007
1.360000009999999e+001	-4.899999e-001	3.510387e+005	-1.395857e-006
1.360000029999998e+001	-1.270000e+000	2.090597e+004	-6.074818e-005
1.360000069999998e+001	-2.830000e+000	1.263643e+003	-2.239557e-003
1.360000099999999e+001	-4.000000e+000	5.532512e+002	-7.229989e-003
1.368656476000245e+001	-4.000000e+000	5.532619e+002	-7.229849e-003
1.378896476000585e+001	-4.000000e+000	5.532725e+002	-7.229711e-003
1.389136476000925e+001	-4.000000e+000	5.532810e+002	-7.229600e-003
1.399376476001265e+001	-4.000000e+000	5.532879e+002	-7.229509e-003
1.409616476001605e+001	-4.000000e+000	5.532936e+002	-7.229435e-003
1.419856476001945e+001	-4.000000e+000	5.532981e+002	-7.229376e-003
1.430096476002285e+001	-4.000000e+000	5.533018e+002	-7.229327e-003
1.440336476002625e+001	-4.000000e+000	5.533049e+002	-7.229288e-003
1.450576476002965e+001	-4.000000e+000	5.533073e+002	-7.229256e-003
1.460000099999999e+001	-4.000000e+000	5.533091e+002	-7.229232e-003
1.460000109999999e+001	-3.610000e+000	9.554018e+002	-3.778515e-003
1.460000129999997e+001	-2.830000e+000	2.701102e+003	-1.047720e-003
1.460000169999998e+001	-1.270000e+000	1.649978e+004	-7.697073e-005
1.460000199999999e+001	-1.000000e-001	8.643531e+005	-1.156935e-007
