Time (s)	repeat #	Applied voltage (V)	Current (A)	Absolute current (A)	Resistance (Ohm)
207.714	1	-1	-8.41735E-8	8.41735E-8	1.18802E7
208.034	1	0	3.09527E-10	3.09527E-10	0
208.351	1	0.1	6.36219E-9	6.36219E-9	1.57179E7
209.567	1	0	-4.57275E-11	4.57275E-11	0
209.882	1	-1	-8.66807E-8	8.66807E-8	1.15366E7
210.202	1	0	2.97151E-10	2.97151E-10	0
210.521	1	0.1	6.37038E-9	6.37038E-9	1.56977E7
211.736	1	0	-4.92518E-11	4.92518E-11	0
212.052	1	-1	-8.60391E-8	8.60391E-8	1.16226E7
212.372	1	0	3.02353E-10	3.02353E-10	0
212.69	1	0.1	6.37222E-9	6.37222E-9	1.56931E7
213.906	1	0	-5.1979E-11	5.1979E-11	0
214.222	1	-1	-9.06014E-8	9.06014E-8	1.10374E7
214.542	1	0	3.03066E-10	3.03066E-10	0
214.86	1	0.1	6.38032E-9	6.38032E-9	1.56732E7
216.076	1	0	-4.82868E-11	4.82868E-11	0
216.39	1	-1	-9.21576E-8	9.21576E-8	1.0851E7
216.707	1	0	3.01011E-10	3.01011E-10	0
217.024	1	0.1	6.38015E-9	6.38015E-9	1.56736E7
218.24	1	0	-4.85385E-11	4.85385E-11	0
218.555	1	-1	-8.98214E-8	8.98214E-8	1.11332E7
218.872	1	0	2.99375E-10	2.99375E-10	0
219.188	1	0.1	6.38409E-9	6.38409E-9	1.56639E7
220.405	1	0	-4.79931E-11	4.79931E-11	0
220.721	1	-1	-9.08802E-8	9.08802E-8	1.10035E7
221.037	1	0	2.98451E-10	2.98451E-10	0
221.354	1	0.1	6.3898E-9	6.3898E-9	1.56499E7
222.568	1	0	-5.23566E-11	5.23566E-11	0
222.887	1	-1	-9.39394E-8	9.39394E-8	1.06452E7
223.204	1	0	2.98284E-10	2.98284E-10	0
223.522	1	0.1	6.39622E-9	6.39622E-9	1.56342E7
224.739	1	0	-5.01329E-11	5.01329E-11	0
225.055	1	-1	-9.2987E-8	9.2987E-8	1.07542E7
225.373	1	0	3.00004E-10	3.00004E-10	0
225.69	1	0.1	6.39533E-9	6.39533E-9	1.56364E7
226.906	1	0	-5.47901E-11	5.47901E-11	0
227.224	1	-1	-9.67003E-8	9.67003E-8	1.03412E7
227.543	1	0	2.84565E-10	2.84565E-10	0
227.87	1	0.1	6.39697E-9	6.39697E-9	1.56324E7
229.085	1	0	-5.24825E-11	5.24825E-11	0
229.401	1	-1	-9.5373E-8	9.5373E-8	1.04851E7
229.719	1	0	2.95683E-10	2.95683E-10	0
