Time (s)	repeat #	Applied voltage (V)	Current (A)	Absolute current (A)	Resistance (Ohm)
594.145	1	-1	-1.48918E-8	1.48918E-8	6.71511E7
594.452	1	0	3.85489E-10	3.85489E-10	0
594.76	1	0.5	4.77191E-4	4.77191E-4	1047.79803
595.162	1	0	-4.55932E-11	4.55932E-11	0
595.573	1	-1	-1.87021E-8	1.87021E-8	5.347E7
595.879	1	0	2.74207E-10	2.74207E-10	0
596.187	1	0.5	4.78326E-4	4.78326E-4	1045.31154
596.59	1	0	-8.35606E-11	8.35606E-11	0
596.994	1	-1	-2.05358E-8	2.05358E-8	4.86954E7
597.301	1	0	2.60405E-10	2.60405E-10	0
597.608	1	0.5	4.78889E-4	4.78889E-4	1044.08372
598.003	1	0	-9.01925E-11	9.01925E-11	0
598.412	1	-1	-2.11273E-8	2.11273E-8	4.73322E7
598.718	1	0	2.43743E-10	2.43743E-10	0
599.026	1	0.5	4.79229E-4	4.79229E-4	1043.34341
599.429	1	0	-1.07518E-10	1.07518E-10	0
599.841	1	-1	-2.24168E-8	2.24168E-8	4.46095E7
600.147	1	0	2.45733E-10	2.45733E-10	0
600.455	1	0.5	4.79465E-4	4.79465E-4	1042.82812
600.858	1	0	-1.11953E-10	1.11953E-10	0
601.269	1	-1	-2.28317E-8	2.28317E-8	4.37988E7
601.576	1	0	2.45028E-10	2.45028E-10	0
601.884	1	0.5	4.79628E-4	4.79628E-4	1042.4748
602.287	1	0	-1.02835E-10	1.02835E-10	0
602.697	1	-1	-2.36522E-8	2.36522E-8	4.22795E7
603.003	1	0	2.38272E-10	2.38272E-10	0
603.312	1	0.5	4.79743E-4	4.79743E-4	1042.22534
603.714	1	0	-1.13363E-10	1.13363E-10	0
604.124	1	-1	-2.39975E-8	2.39975E-8	4.1671E7
604.428	1	0	2.46105E-10	2.46105E-10	0
604.737	1	0.5	4.79816E-4	4.79816E-4	1042.06699
605.14	1	0	-1.1187E-10	1.1187E-10	0
605.551	1	-1	-2.4652E-8	2.4652E-8	4.05647E7
605.862	1	0	2.34128E-10	2.34128E-10	0
606.167	1	0.5	4.79859E-4	4.79859E-4	1041.97361
606.57	1	0	-1.17217E-10	1.17217E-10	0
606.981	1	-1	-2.56693E-8	2.56693E-8	3.89571E7
607.291	1	0	2.38853E-10	2.38853E-10	0
607.597	1	0.5	4.79898E-4	4.79898E-4	1041.88742
607.999	1	0	-1.19912E-10	1.19912E-10	0
608.404	1	-1	-2.62622E-8	2.62622E-8	3.80775E7
608.71	1	0	2.43454E-10	2.43454E-10	0
609.018	1	1	0.00281	0.00281	355.29078
729.502	1	1	0.00281	0.00281	355.2952
729.801	1	0	-4.41392E-10	4.41392E-10	0
730.209	1	-3	-6.44341E-5	6.44341E-5	46559.18324
730.711	1	0	4.02773E-10	4.02773E-10	0
731.116	1	-1	-1.75677E-8	1.75677E-8	5.69226E7
731.422	1	0	2.71263E-10	2.71263E-10	0
731.73	1	-3	-5.90485E-5	5.90485E-5	50805.71944
732.225	1	0	5.26821E-10	5.26821E-10	0
732.629	1	-1	-1.29176E-8	1.29176E-8	7.74139E7
732.935	1	0	3.69947E-10	3.69947E-10	0
733.249	1	-3	-5.6576E-5	5.6576E-5	53026.03684
733.733	1	0	5.69095E-10	5.69095E-10	0
734.14	1	-1	-1.1166E-8	1.1166E-8	8.95576E7
734.446	1	0	3.92204E-10	3.92204E-10	0
734.754	1	-3	-5.48987E-5	5.48987E-5	54646.05296
735.248	1	0	5.93175E-10	5.93175E-10	0
735.653	1	-1	-1.01393E-8	1.01393E-8	9.86258E7
735.959	1	0	4.04265E-10	4.04265E-10	0
736.266	1	-3	-5.31829E-5	5.31829E-5	56409.10894
736.762	1	0	6.05403E-10	6.05403E-10	0
737.166	1	-1	-9.37352E-9	9.37352E-9	1.06684E8
737.473	1	0	4.26728E-10	4.26728E-10	0
737.781	1	-3	-5.24362E-5	5.24362E-5	57212.40563
738.276	1	0	6.32177E-10	6.32177E-10	0
738.68	1	-1	-8.73172E-9	8.73172E-9	1.14525E8
738.985	1	0	4.30624E-10	4.30624E-10	0
739.294	1	-3	-5.1744E-5	5.1744E-5	57977.71414
